year,mmm,month-num,date,beef-produce,veal-produce,milk-produce
1970,Dec,12,1-Dec-70,21684,588,117007
1971,Dec,12,1-Dec-71,21904,547,118566
1972,Dec,12,1-Dec-72,22413,458,120025
1973,Dec,12,1-Dec-73,21278,357,115491
1974,Dec,12,1-Dec-74,23137,486,115586
1975,Dec,12,1-Dec-75,23975,873,115398
1976,Dec,12,1-Dec-76,25969,852,120180
1977,Dec,12,1-Dec-77,25279,833,122654
1978,Dec,12,1-Dec-78,24241,631,121461
1979,Dec,12,1-Dec-79,21447,435,123350
1980,Dec,12,1-Dec-80,21643,400,128406
1981,Dec,12,1-Dec-81,22389,435,132770
1982,Dec,12,1-Dec-82,22536,448,135505
1983,Dec,12,1-Dec-83,23243,453,139588
1984,Dec,12,1-Dec-84,23598,495,135351
1985,Dec,12,1-Dec-85,23728,515,143012
1986,Dec,12,1-Dec-86,24371,524,143124
1987,Dec,12,1-Dec-87,23566,430,142709
1988,Dec,12,1-Dec-88,23589,396,145034
1989,Dec,12,1-Dec-89,23087,355,143893
1990,Dec,12,1-Dec-90,22743,327,147721
1991,Dec,12,1-Dec-91,22917,306,147697
1992,Dec,12,1-Dec-92,23086,310,150885
1993,Dec,12,1-Dec-93,23050,285,150636
1994,Dec,12,1-Dec-94,24386,293,153602
1995,Jan,1,1-Jan-95,2010,27,13170
1995,Feb,2,1-Feb-95,1811,24,12126
1995,Mar,3,1-Mar-95,2067,27,13622
1995,Apr,4,1-Apr-95,1854,22,13330
1995,May,5,1-May-95,2186,26,13868
1995,Jun,6,1-Jun-95,2285,26,13267
1995,Jul,7,1-Jul-95,2089,24,13141
1995,Aug,8,1-Aug-95,2316,26,12751
1995,Sep,9,1-Sep-95,2220,26,12316
1995,Oct,10,1-Oct-95,2181,27,12674
1995,Nov,11,1-Nov-95,2098,27,12232
1995,Dec,12,1-Dec-95,1998,26,12795
1996,Jan,1,1-Jan-96,2220,30,13068
1996,Feb,2,1-Feb-96,2048,30,12411
1996,Mar,3,1-Mar-96,2035,30,13509
1996,Apr,4,1-Apr-96,2154,28,13211
1996,May,5,1-May-96,2302,30,13561
1996,Jun,6,1-Jun-96,2186,29,12815
1996,Jul,7,1-Jul-96,2194,32,12773
1996,Aug,8,1-Aug-96,2262,32,12594
1996,Sep,9,1-Sep-96,1934,31,12197
1996,Oct,10,1-Oct-96,2179,34,12684
1996,Nov,11,1-Nov-96,1955,30,12288
1996,Dec,12,1-Dec-96,1950,31,12895
1997,Jan,1,1-Jan-97,2222,31,13106
1997,Feb,2,1-Feb-97,1919,27,12104
1997,Mar,3,1-Mar-97,1966,28,13649
1997,Apr,4,1-Apr-97,2095,28,13379
1997,May,5,1-May-97,2189,26,13870
1997,Jun,6,1-Jun-97,2132,26,13325
1997,Jul,7,1-Jul-97,2256,27,13265
1997,Aug,8,1-Aug-97,2221,25,13000
1997,Sep,9,1-Sep-97,2126,28,12362
1997,Oct,10,1-Oct-97,2300,28,12768
1997,Nov,11,1-Nov-97,1934,24,12325
1997,Dec,12,1-Dec-97,2024,26,12938
1998,Jan,1,1-Jan-98,2157,24,13275
1998,Feb,2,1-Feb-98,1977,21,12188
1998,Mar,3,1-Mar-98,2081,23,13692
1998,Apr,4,1-Apr-98,2090,20,13485
1998,May,5,1-May-98,2123,19,13992
1998,Jun,6,1-Jun-98,2248,20,13276
1998,Jul,7,1-Jul-98,2213,21,13159
1998,Aug,8,1-Aug-98,2228,20,12932
1998,Sep,9,1-Sep-98,2197,22,12395
1998,Oct,10,1-Oct-98,2236,21,12921
1998,Nov,11,1-Nov-98,2003,19,12602
1998,Dec,12,1-Dec-98,2100,22,13345
1999,Jan,1,1-Jan-99,2170,18,13618
1999,Feb,2,1-Feb-99,1998,17,12593
1999,Mar,3,1-Mar-99,2231,20,14250
1999,Apr,4,1-Apr-99,2155,18,13919
1999,May,5,1-May-99,2151,17,14453
1999,Jun,6,1-Jun-99,2321,19,13625
1999,Jul,7,1-Jul-99,2256,19,13430
1999,Aug,8,1-Aug-99,2307,20,13348
1999,Sep,9,1-Sep-99,2275,20,12954
1999,Oct,10,1-Oct-99,2265,19,13410
1999,Nov,11,1-Nov-99,2144,19,13140
1999,Dec,12,1-Dec-99,2113,20,13849
2000,Jan,1,1-Jan-00,2178,17,14242
2000,Feb,2,1-Feb-00,2175,18,13582
2000,Mar,3,1-Mar-00,2300,20,14752
2000,Apr,4,1-Apr-00,2027,17,14380
2000,May,5,1-May-00,2303,19,14774
2000,Jun,6,1-Jun-00,2369,18,13989
2000,Jul,7,1-Jul-00,2202,18,14086
2000,Aug,8,1-Aug-00,2437,17,13766
2000,Sep,9,1-Sep-00,2275,17,13210
2000,Oct,10,1-Oct-00,2345,18,13691
2000,Nov,11,1-Nov-00,2169,18,13172
2000,Dec,12,1-Dec-00,1997,18,13749
2001,Jan,1,1-Jan-01,2205,18,14003
2001,Feb,2,1-Feb-01,1881,16,12867
2001,Mar,3,1-Mar-01,2096,16,14380
2001,Apr,4,1-Apr-01,1939,15,14077
2001,May,5,1-May-01,2294,16,14649
2001,Jun,6,1-Jun-01,2269,16,13959
2001,Jul,7,1-Jul-01,2177,16,13849
2001,Aug,8,1-Aug-01,2425,17,13537
2001,Sep,9,1-Sep-01,2121,15,13122
2001,Oct,10,1-Oct-01,2389,18,13598
2001,Nov,11,1-Nov-01,2201,16,13303
2001,Dec,12,1-Dec-01,2110,16,13988
2002,Jan,1,1-Jan-02,2331,17,14321
2002,Feb,2,1-Feb-02,1987,14,13259
2002,Mar,3,1-Mar-02,2059,15,14905
2002,Apr,4,1-Apr-02,2195,16,14620
2002,May,5,1-May-02,2336,16,15144
2002,Jun,6,1-Jun-02,2302,15,14325
2002,Jul,7,1-Jul-02,2427,17,14225
2002,Aug,8,1-Aug-02,2469,17,14145
2002,Sep,9,1-Sep-02,2201,16,13476
2002,Oct,10,1-Oct-02,2512,19,13897
2002,Nov,11,1-Nov-02,2164,17,13499
2002,Dec,12,1-Dec-02,2107,18,14247
2003,Jan,1,1-Jan-03,2291,18,14599
2003,Feb,2,1-Feb-03,1942,16,13448
2003,Mar,3,1-Mar-03,2048,17,15044
2003,Apr,4,1-Apr-03,2151,16,14641
2003,May,5,1-May-03,2360,16,15011
2003,Jun,6,1-Jun-03,2391,15,14337
2003,Jul,7,1-Jul-03,2439,15,14257
2003,Aug,8,1-Aug-03,2328,14,14017
2003,Sep,9,1-Sep-03,2314,15,13466
2003,Oct,10,1-Oct-03,2212,16,13891
2003,Nov,11,1-Nov-03,1783,15,13464
2003,Dec,12,1-Dec-03,1978,19,14173
2004,Jan,1,1-Jan-04,1926,16,14394
2004,Feb,2,1-Feb-04,1804,15,13605
2004,Mar,3,1-Mar-04,2108,14,14763
2004,Apr,4,1-Apr-04,1956,14,14532
2004,May,5,1-May-04,2070,14,15029
2004,Jun,6,1-Jun-04,2227,13,14278
2004,Jul,7,1-Jul-04,2104,13,14396
2004,Aug,8,1-Aug-04,2151,14,14206
2004,Sep,9,1-Sep-04,2105,13,13610
2004,Oct,10,1-Oct-04,2114,12,14081
2004,Nov,11,1-Nov-04,1941,14,13622
2004,Dec,12,1-Dec-04,2042,15,14316
2005,Jan,1,1-Jan-05,1916,13,14606
2005,Feb,2,1-Feb-05,1767,12,13523
2005,Mar,3,1-Mar-05,2042,13,15197
2005,Apr,4,1-Apr-05,1888,13,15046
2005,May,5,1-May-05,2074,13,15696
2005,Jun,6,1-Jun-05,2227,13,15083
2005,Jul,7,1-Jul-05,2083,12,14977
2005,Aug,8,1-Aug-05,2319,14,14891
2005,Sep,9,1-Sep-05,2158,13,14253
2005,Oct,10,1-Oct-05,2081,13,14609
2005,Nov,11,1-Nov-05,2071,12,14199
2005,Dec,12,1-Dec-05,2057,14,14851
2006,Jan,1,1-Jan-06,2051,12,15348
2006,Feb,2,1-Feb-06,1827,11,14248
2006,Mar,3,1-Mar-06,2204,13,15967
2006,Apr,4,1-Apr-06,1969,10,15535
2006,May,5,1-May-06,2309,13,16061
2006,Jun,6,1-Jun-06,2446,12,15329
2006,Jul,7,1-Jul-06,2214,11,15156
2006,Aug,8,1-Aug-06,2450,13,15046
2006,Sep,9,1-Sep-06,2170,12,14473
2006,Oct,10,1-Oct-06,2236,13,14839
2006,Nov,11,1-Nov-06,2227,13,14507
2006,Dec,12,1-Dec-06,2050,13,15273
2007,Jan,1,1-Jan-07,2166,14,15607
2007,Feb,2,1-Feb-07,1953,12,14323
2007,Mar,3,1-Mar-07,2118,14,16133
2007,Apr,4,1-Apr-07,2015,12,15765
2007,May,5,1-May-07,2285,12,16194
2007,Jun,6,1-Jun-07,2349,11,15479
2007,Jul,7,1-Jul-07,2257,11,15715
2007,Aug,8,1-Aug-07,2451,10,15525
2007,Sep,9,1-Sep-07,2095,9,14871
2007,Oct,10,1-Oct-07,2443,11,15391
2007,Nov,11,1-Nov-07,2229,10,15016
2007,Dec,12,1-Dec-07,2061,10,15635
2008,Jan,1,1-Jan-08,2233,11,15980
2008,Feb,2,1-Feb-08,2039,11,15180
2008,Mar,3,1-Mar-08,2101,11,16462
2008,Apr,4,1-Apr-08,2255,12,16118
2008,May,5,1-May-08,2380,12,16703
2008,Jun,6,1-Jun-08,2263,12,15940
2008,Jul,7,1-Jul-08,2372,12,15988
2008,Aug,8,1-Aug-08,2267,11,15747
2008,Sep,9,1-Sep-08,2270,13,15124
2008,Oct,10,1-Oct-08,2341,14,15615
2008,Nov,11,1-Nov-08,1959,11,15213
2008,Dec,12,1-Dec-08,2082,13,15908
2009,Jan,1,1-Jan-09,2118,12,16123
2009,Feb,2,1-Feb-09,1986,11,14738
2009,Mar,3,1-Mar-09,2144,12,16471
2009,Apr,4,1-Apr-09,2133,11,16130
2009,May,5,1-May-09,2179,10,16792
2009,Jun,6,1-Jun-09,2289,12,15928
2009,Jul,7,1-Jul-09,2271,11,16011
2009,Aug,8,1-Aug-09,2184,11,15732
2009,Sep,9,1-Sep-09,2234,12,15039
2009,Oct,10,1-Oct-09,2276,12,15415
2009,Nov,11,1-Nov-09,2016,12,15060
2009,Dec,12,1-Dec-09,2134,13,15763
2010,Jan,1,1-Jan-10,2082,12,16013
2010,Feb,2,1-Feb-10,1955,11,14750
2010,Mar,3,1-Mar-10,2211,12,16607
2010,Apr,4,1-Apr-10,2139,11,16419
2010,May,5,1-May-10,2087,10,17042
2010,Jun,6,1-Jun-10,2320,11,16356
2010,Jul,7,1-Jul-10,2230,11,16447
2010,Aug,8,1-Aug-10,2287,11,16105
2010,Sep,9,1-Sep-10,2252,11,15550
2010,Oct,10,1-Oct-10,2235,11,15914
2010,Nov,11,1-Nov-10,2236,11,15514
2010,Dec,12,1-Dec-10,2271,12,16160
2011,Dec,12,1-Dec-11,26270,136,196255
2012,Dec,12,1-Dec-12,25989,125,200642
2013,Dec,12,1-Dec-13,25790,117,201260
2014,Dec,12,1-Dec-14,24316,100,206048
2015,Dec,12,1-Dec-15,23760,88,208508
2016,Dec,12,1-Dec-16,25288,81,212451
2017,Dec,12,1-Dec-17,26250,80,215527
2018,Dec,12,1-Dec-18,26938,81,217568
2019,Dec,12,1-Dec-19,27224,79,218441
2020,Dec,12,1-Dec-20,27244,69,223309
2021,Dec,12,1-Dec-21,28016,58,226258
